match,quarter,frame_index,timestamp_sec,partner,confidence,box_x,box_y,box_w,box_h,frame_w,frame_h,coverage_pct,center_x,center_y
Round3,Q1,96,96.0,EMIRATES,0.8718,1407.4,184.1,59.5,38.8,1920,1080,0.111,1437.1,203.5
Round3,Q1,97,97.0,EMIRATES,0.8971,1846.1,222.6,70.4,36.5,1920,1080,0.124,1881.3,240.8
Round3,Q1,97,97.0,EMIRATES,0.8585,1067.1,37.5,102.4,37.7,1920,1080,0.186,1118.3,56.3
Round3,Q1,98,98.0,EMIRATES,0.8406,1164.0,293.3,62.4,44.0,1920,1080,0.132,1195.2,315.4
Round3,Q1,99,99.0,EMIRATES,0.8897,1113.8,301.8,92.5,30.4,1920,1080,0.136,1160.1,316.9
Round3,Q1,100,100.0,EMIRATES,0.8991,1306.0,406.3,105.7,29.5,1920,1080,0.15,1358.9,421.1
Round3,Q1,101,101.0,EMIRATES,0.9091,923.3,487.3,57.5,31.8,1920,1080,0.088,952.1,503.2
Round3,Q1,102,102.0,EMIRATES,0.9042,1049.0,419.9,94.5,31.3,1920,1080,0.143,1096.3,435.5
Round3,Q1,103,103.0,EMIRATES,0.8688,1699.0,321.9,115.4,95.3,1920,1080,0.53,1756.7,369.5
Round3,Q1,104,104.0,EMIRATES,0.8957,399.3,417.6,155.7,88.6,1920,1080,0.665,477.1,461.9
Round3,Q1,105,105.0,EMIRATES,0.8408,706.8,411.1,73.2,101.3,1920,1080,0.358,743.4,461.7
Round3,Q1,106,106.0,EMIRATES,0.8816,494.8,482.1,175.0,87.4,1920,1080,0.738,582.3,525.8
Round3,Q1,107,107.0,EMIRATES,0.8952,564.9,584.2,61.7,47.5,1920,1080,0.141,595.8,607.9
Round3,Q1,108,108.0,EMIRATES,0.8976,567.1,513.4,117.8,45.7,1920,1080,0.26,625.9,536.3
Round3,Q1,109,109.0,EMIRATES,0.9262,482.2,469.3,114.2,44.7,1920,1080,0.246,539.3,491.6
Round3,Q1,111,111.0,EMIRATES,0.8801,483.9,412.8,73.8,32.2,1920,1080,0.115,520.8,428.9
Round3,Q1,118,118.0,EMIRATES,0.8562,182.6,478.4,26.2,15.0,1920,1080,0.019,195.8,485.9
Round3,Q1,118,118.0,EMIRATES,0.842,1421.3,557.9,29.5,11.3,1920,1080,0.016,1436.1,563.6
Round3,Q1,119,119.0,EMIRATES,0.8622,1780.3,679.3,51.8,14.0,1920,1080,0.035,1806.2,686.3
Round3,Q1,119,119.0,EMIRATES,0.8618,1553.9,490.1,46.9,20.7,1920,1080,0.047,1577.3,500.4
Round3,Q1,119,119.0,EMIRATES,0.7721,582.5,579.9,51.6,12.7,1920,1080,0.032,608.3,586.3
Round3,Q1,122,122.0,EMIRATES,0.8801,1209.2,401.6,39.9,15.9,1920,1080,0.031,1229.2,409.6
Round3,Q1,122,122.0,EMIRATES,0.8172,1670.6,350.4,29.4,12.7,1920,1080,0.018,1685.3,356.7
Round3,Q1,123,123.0,EMIRATES,0.8769,1218.4,421.2,33.9,14.6,1920,1080,0.024,1235.3,428.5
Round3,Q1,123,123.0,EMIRATES,0.8707,1353.4,454.5,39.6,13.6,1920,1080,0.026,1373.2,461.3
Round3,Q1,137,137.0,EMIRATES,0.8692,1546.3,561.3,37.5,20.6,1920,1080,0.037,1565.0,571.6
Round3,Q1,140,140.0,EMIRATES,0.8543,1268.8,373.5,104.8,75.7,1920,1080,0.382,1321.2,411.4
Round3,Q1,142,142.0,EMIRATES,0.9104,1247.7,27.0,160.2,51.0,1920,1080,0.394,1327.8,52.4
Round3,Q1,144,144.0,EMIRATES,0.8751,619.0,515.8,72.3,22.4,1920,1080,0.078,655.1,527.0
Round3,Q1,144,144.0,EMIRATES,0.8657,854.0,405.7,87.3,30.0,1920,1080,0.126,897.7,420.7
Round3,Q1,144,144.0,EMIRATES,0.749,1205.3,447.9,49.4,25.8,1920,1080,0.061,1230.0,460.8
Round3,Q1,145,145.0,EMIRATES,0.8846,693.4,652.6,43.6,13.0,1920,1080,0.027,715.2,659.2
Round3,Q1,145,145.0,EMIRATES,0.8448,846.2,587.7,46.2,17.2,1920,1080,0.038,869.3,596.2
Round3,Q1,146,146.0,EMIRATES,0.3773,850.0,740.5,26.9,9.5,1920,1080,0.012,863.4,745.3
Round3,Q1,147,147.0,EMIRATES,0.7785,719.7,423.7,19.8,31.2,1920,1080,0.03,729.6,439.3
Round3,Q1,147,147.0,EMIRATES,0.3255,1467.6,371.7,20.7,32.1,1920,1080,0.032,1478.0,387.7
Round3,Q1,149,149.0,EMIRATES,0.8452,470.7,570.7,78.5,32.0,1920,1080,0.121,509.9,586.7
Round3,Q1,150,150.0,EMIRATES,0.8996,445.4,592.8,93.9,25.0,1920,1080,0.113,492.3,605.3
Round3,Q1,151,151.0,EMIRATES,0.8946,1668.9,868.6,42.4,15.1,1920,1080,0.031,1690.1,876.1
Round3,Q1,151,151.0,EMIRATES,0.883,356.3,625.7,80.7,24.3,1920,1080,0.095,396.7,637.9
Round3,Q1,151,151.0,EMIRATES,0.8247,868.0,743.9,74.5,28.7,1920,1080,0.103,905.2,758.3
Round3,Q1,152,152.0,EMIRATES,0.8966,1658.6,865.8,45.4,14.1,1920,1080,0.031,1681.3,872.8
Round3,Q1,152,152.0,EMIRATES,0.8644,289.6,957.9,82.1,20.2,1920,1080,0.08,330.7,968.0
Round3,Q1,153,153.0,EMIRATES,0.8878,1659.1,854.1,47.3,16.0,1920,1080,0.037,1682.8,862.1
Round3,Q1,155,155.0,EMIRATES,0.8622,1677.2,893.8,41.4,12.4,1920,1080,0.025,1697.9,900.0
Round3,Q1,156,156.0,EMIRATES,0.8847,1707.4,909.9,44.3,13.5,1920,1080,0.029,1729.6,916.6
Round3,Q1,157,157.0,EMIRATES,0.8788,1677.2,916.5,47.1,13.6,1920,1080,0.031,1700.8,923.3
Round3,Q1,158,158.0,EMIRATES,0.879,1734.4,899.3,46.9,14.4,1920,1080,0.032,1757.9,906.5
Round3,Q1,159,159.0,EMIRATES,0.8819,1734.3,907.0,44.4,15.1,1920,1080,0.032,1756.5,914.5
Round3,Q1,160,160.0,EMIRATES,0.8881,1678.3,904.9,42.6,14.8,1920,1080,0.03,1699.6,912.3
Round3,Q1,161,161.0,EMIRATES,0.8915,1731.2,895.8,48.3,14.7,1920,1080,0.034,1755.3,903.2
Round3,Q1,164,164.0,EMIRATES,0.4191,966.5,167.2,110.6,44.9,1920,1080,0.239,1021.8,189.6
